You are a useful system that helps people to decide whether they are eligible for a welfare benefit.

You will be presented with a comma-separated list of features describing the person that applied for the benefit. The features' names are as follows: {names}.

An exemplary CSV file that describes the individuals that applied for the benefit, alongside whether the benefit is to be approved (the "eligible" column) is as follows:

age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible
17,m,no,yes,no,yes,yes,False,False,4724,out,95,False
90,f,no,yes,no,no,yes,False,True,2770,in,20,False
94,m,yes,yes,no,yes,yes,True,False,2151,out,68,True
29,m,yes,yes,yes,no,no,False,False,5458,out,40,False
61,m,yes,no,no,no,yes,True,False,8597,in,55,False
20,m,yes,yes,no,yes,yes,True,False,5343,in,76,False
100,m,yes,yes,yes,yes,no,True,False,2325,in,25,True
51,m,yes,yes,no,yes,no,False,False,7763,in,24,False
68,m,yes,yes,yes,no,yes,True,False,1232,out,50,True
92,m,yes,yes,yes,yes,yes,True,False,1016,out,56,True
76,m,yes,yes,yes,yes,yes,True,False,2584,out,98,True
37,f,no,no,yes,yes,yes,True,True,8921,out,50,False
41,m,yes,no,no,yes,no,True,True,9291,in,89,False
100,f,yes,yes,yes,yes,yes,True,False,2476,in,10,True
65,f,no,no,no,no,no,True,True,8877,out,28,False
25,m,yes,no,no,yes,yes,True,True,7543,out,40,False
10,m,no,no,yes,yes,yes,False,True,5235,in,2,False
75,m,yes,no,yes,yes,yes,True,False,575,out,61,True
99,f,yes,no,yes,no,no,False,True,6266,in,56,False
47,m,yes,yes,no,yes,no,True,False,7089,out,53,False
78,f,yes,yes,yes,yes,yes,True,False,517,out,94,True
88,f,yes,yes,yes,yes,yes,True,False,2227,out,98,True
88,f,yes,yes,no,yes,yes,True,False,2291,out,92,True
73,f,no,no,yes,no,yes,False,False,9806,in,55,False
94,m,yes,no,no,yes,no,True,True,3333,in,70,False
84,f,yes,yes,yes,yes,no,True,False,160,out,96,True
69,m,yes,yes,yes,no,yes,True,False,2045,out,60,True
67,m,no,no,no,no,no,True,False,5165,out,95,False
48,m,no,no,no,no,yes,True,False,5810,out,4,False
93,f,yes,yes,no,yes,yes,True,False,2190,in,33,True
99,f,yes,yes,yes,yes,yes,True,False,481,in,36,True
77,f,no,yes,yes,yes,yes,True,False,93,in,6,True
77,f,yes,yes,yes,yes,yes,True,False,1154,in,39,True
77,f,no,yes,yes,yes,yes,True,False,1104,in,45,True
34,f,yes,yes,yes,yes,yes,False,True,6654,in,93,False
73,f,yes,yes,no,yes,yes,True,False,2745,out,87,True
91,m,no,no,no,no,yes,False,False,8465,in,90,False
82,f,yes,yes,yes,no,no,True,False,6842,in,91,False
62,f,no,no,no,yes,no,True,True,6364,out,57,False
73,m,yes,no,yes,yes,yes,True,False,627,out,68,True
23,m,no,no,yes,yes,no,False,True,3400,out,38,False
81,m,yes,no,yes,no,no,False,False,7296,out,21,False
89,m,yes,yes,yes,yes,no,True,False,819,in,30,True
66,m,yes,yes,yes,no,yes,True,False,1025,in,38,True
91,f,yes,yes,no,yes,yes,True,False,2165,in,48,True
53,f,yes,yes,no,yes,yes,False,True,2121,in,93,False
76,f,no,no,yes,yes,no,False,False,8558,in,21,False
60,f,yes,yes,yes,yes,yes,True,False,535,out,80,True
76,m,yes,no,yes,yes,yes,True,False,2681,in,38,True
78,f,yes,no,yes,yes,yes,True,False,473,out,63,True
52,m,no,no,no,yes,yes,True,True,5848,in,68,False
90,m,yes,yes,yes,yes,yes,True,False,1065,in,49,True
44,f,no,yes,yes,no,yes,True,False,5543,out,5,False
80,m,yes,yes,yes,yes,yes,True,False,99,out,71,True
97,f,yes,yes,no,yes,yes,True,False,2347,out,91,True
73,m,yes,no,yes,yes,yes,True,False,429,in,25,True
78,m,no,yes,yes,yes,yes,True,False,956,out,78,True
80,f,no,yes,yes,yes,yes,True,False,5,in,5,True
69,m,yes,yes,yes,yes,yes,True,False,2155,out,85,True
86,m,yes,yes,yes,yes,yes,True,False,2938,in,27,True
25,f,yes,yes,no,yes,no,True,True,1006,in,78,False
26,m,no,yes,no,yes,no,True,True,6940,out,96,False
96,f,yes,yes,yes,yes,yes,True,False,2093,in,18,True
87,m,yes,yes,no,yes,yes,True,False,1143,out,97,True
67,f,yes,no,no,yes,no,True,False,8227,in,83,False
75,f,no,yes,yes,yes,yes,True,False,2025,out,60,True
0,f,yes,no,no,yes,no,False,True,3964,out,73,False
81,f,no,no,yes,no,no,True,False,2819,in,30,False
68,m,yes,no,yes,yes,no,False,True,7143,out,89,False
36,m,no,no,yes,yes,no,True,True,4069,out,67,False
11,m,no,yes,no,yes,no,False,True,3429,in,55,False
87,f,no,yes,yes,no,no,False,True,6314,out,12,False
37,f,yes,no,yes,yes,no,True,False,1019,out,25,False
30,m,no,yes,yes,yes,yes,False,True,4864,in,10,False
89,f,yes,no,no,no,yes,False,False,3222,out,52,False
76,f,yes,yes,yes,yes,yes,True,False,2687,out,71,True
94,m,yes,yes,yes,yes,yes,True,False,766,out,98,True
68,m,yes,yes,yes,yes,yes,True,False,1189,out,86,True
48,m,yes,no,no,yes,yes,False,False,3549,in,36,False
84,m,yes,yes,yes,no,yes,True,False,1707,in,27,True
77,m,yes,yes,yes,yes,yes,True,False,2409,out,68,True
26,m,no,yes,no,no,yes,False,True,4013,in,73,False
31,m,no,yes,no,yes,no,False,True,8511,in,92,False
96,m,yes,yes,yes,no,yes,True,False,958,in,35,True
16,m,no,no,no,yes,yes,False,True,6884,in,13,False
61,f,yes,yes,yes,yes,yes,True,False,1024,out,76,True
100,f,yes,yes,no,yes,yes,True,True,858,in,79,False
98,f,yes,yes,no,yes,yes,True,False,143,out,88,True
75,m,yes,yes,yes,yes,yes,True,False,2149,in,49,True
21,f,yes,yes,no,no,no,False,False,6244,out,76,False
63,f,yes,yes,yes,yes,yes,True,False,2582,out,78,True
74,m,yes,yes,no,yes,no,True,True,3543,out,93,False
99,m,yes,yes,yes,yes,yes,True,False,427,in,17,True
18,f,no,yes,no,no,yes,False,True,2741,out,60,False
19,m,yes,no,yes,yes,no,True,True,6143,out,5,False
79,m,yes,yes,yes,yes,yes,True,False,650,in,25,True
80,f,yes,yes,yes,yes,yes,True,False,651,in,30,True
67,f,yes,yes,yes,yes,yes,True,False,1060,in,20,True
75,m,no,yes,yes,yes,yes,True,False,2084,in,16,True
85,m,yes,yes,yes,yes,yes,True,False,468,in,6,True
92,f,yes,yes,yes,yes,yes,True,False,68,out,57,True
18,m,yes,no,yes,yes,no,False,False,7866,in,37,False
79,m,yes,yes,yes,yes,yes,True,False,2043,out,86,True
67,m,yes,yes,yes,yes,yes,True,False,1009,in,13,True
65,m,no,no,yes,no,no,True,True,8446,out,45,False
21,m,yes,no,no,yes,yes,False,True,2264,out,17,False
61,m,no,yes,no,no,yes,False,False,1292,out,15,False
29,f,yes,no,no,no,no,False,False,8390,in,9,False
96,f,yes,yes,yes,yes,yes,True,False,1232,in,11,True
99,m,no,yes,yes,yes,yes,True,False,901,in,18,True
98,m,yes,no,no,no,no,True,True,3525,out,16,False
60,f,yes,yes,yes,yes,yes,True,False,682,in,38,True
94,m,yes,yes,yes,yes,yes,True,False,848,in,26,True
69,m,yes,yes,yes,yes,yes,True,False,823,in,33,True
79,m,no,yes,no,no,yes,False,True,296,out,13,False
66,f,yes,yes,yes,yes,yes,True,False,1461,in,27,True
100,f,yes,yes,yes,yes,no,True,True,7498,out,21,False
78,f,yes,yes,yes,yes,yes,True,False,197,out,85,True
93,m,no,yes,yes,yes,yes,True,False,726,out,66,True
81,m,yes,yes,yes,yes,yes,True,False,1584,out,57,True
90,f,yes,yes,yes,yes,yes,True,False,1494,in,19,True
74,m,yes,no,yes,yes,yes,True,False,1349,out,97,True
45,m,yes,no,yes,no,yes,False,True,7272,in,73,False
95,m,yes,yes,no,yes,yes,True,False,561,out,76,True
84,f,yes,yes,yes,yes,yes,True,False,2818,out,88,True
70,m,no,yes,yes,no,yes,False,False,3600,in,78,False
17,f,no,yes,no,no,yes,False,False,1725,in,75,False
24,f,no,yes,yes,no,no,True,True,9910,out,35,False
40,m,yes,yes,yes,no,yes,True,True,547,in,83,False
75,m,yes,yes,no,no,yes,False,False,7141,in,23,False
51,f,no,yes,yes,yes,no,True,True,4726,in,49,False
86,m,yes,no,no,yes,no,False,False,6202,in,43,False
89,m,yes,yes,yes,yes,yes,False,True,3482,out,17,False
96,f,yes,yes,yes,no,yes,True,False,2866,in,32,True
46,m,yes,no,yes,no,no,False,False,916,out,73,False
86,m,yes,no,yes,yes,yes,True,False,967,in,4,True
73,f,yes,yes,yes,yes,yes,True,False,624,out,54,True
73,m,yes,yes,yes,yes,yes,True,False,2725,in,49,True
54,f,no,no,yes,no,yes,True,False,7019,in,3,False
95,m,yes,yes,yes,yes,yes,True,False,2719,out,86,True
66,f,yes,yes,yes,yes,no,True,False,902,in,32,True
53,f,no,yes,no,no,no,False,False,7691,out,48,False
77,m,no,no,no,no,no,False,True,8907,out,14,False
28,m,no,yes,no,no,no,True,False,287,in,77,False
28,m,no,yes,no,yes,yes,True,True,7244,out,42,False
1,m,yes,yes,yes,yes,no,False,True,4922,out,38,False
88,m,no,yes,no,no,yes,False,True,2437,out,12,False
94,f,yes,yes,yes,yes,yes,True,False,537,out,54,True
75,m,no,no,no,yes,yes,True,True,3774,out,63,False
84,m,yes,no,yes,yes,yes,True,False,820,in,31,True
53,m,yes,yes,yes,no,yes,False,True,1313,in,62,False
23,m,yes,yes,no,no,no,True,True,818,out,31,False
12,m,no,no,no,no,no,False,False,6850,in,95,False
68,f,yes,no,no,yes,no,False,True,7511,in,86,False
7,m,yes,no,no,no,yes,False,True,3035,in,19,False
80,f,yes,yes,yes,yes,yes,True,False,751,in,12,True
93,m,yes,yes,yes,yes,no,True,False,1769,in,5,True
72,f,yes,yes,no,yes,yes,True,False,512,out,56,True
86,m,yes,no,yes,no,no,True,True,6930,out,31,False
92,m,yes,yes,yes,yes,yes,True,False,1906,in,35,True
89,m,yes,yes,yes,yes,yes,True,False,721,in,3,True
70,f,yes,yes,yes,yes,yes,True,False,2638,in,27,True
68,f,yes,yes,yes,yes,yes,True,False,178,out,84,True
92,f,yes,yes,yes,yes,yes,True,False,1532,out,91,True
56,f,yes,yes,no,yes,no,True,True,5545,in,52,False
96,f,yes,yes,yes,yes,yes,True,False,799,in,10,True
40,f,no,yes,yes,yes,yes,False,False,5179,out,74,False
80,m,yes,yes,no,yes,yes,True,False,283,out,72,True
40,m,yes,yes,no,yes,yes,False,False,7427,out,66,False
86,m,yes,yes,yes,yes,no,True,False,1040,out,73,True
43,m,yes,yes,yes,yes,yes,True,False,9950,out,60,False
81,f,no,yes,yes,yes,yes,True,False,1637,out,52,True
84,f,yes,yes,yes,yes,yes,True,False,158,out,98,True
79,m,yes,yes,yes,yes,yes,True,False,2662,in,8,True
22,f,yes,yes,no,yes,no,False,False,7530,in,68,False
0,m,no,yes,yes,yes,yes,False,False,4144,out,23,False
1,f,no,no,no,yes,no,False,False,9415,in,30,False
88,m,yes,yes,no,yes,yes,False,True,2246,out,53,False
4,f,no,yes,yes,no,no,True,True,5192,out,79,False
80,m,yes,yes,yes,yes,yes,True,False,2155,in,36,True
5,f,yes,no,yes,yes,yes,False,False,3811,out,15,False
49,f,yes,no,yes,yes,no,True,True,7781,in,82,False
35,f,yes,yes,no,no,no,False,False,9383,out,38,False
1,f,yes,yes,no,no,no,True,False,3295,in,83,False
38,m,no,yes,no,yes,no,False,True,4820,in,72,False
65,f,no,no,no,no,no,False,False,5802,out,62,False
71,m,no,yes,yes,yes,yes,True,False,232,in,15,True
82,f,yes,yes,yes,yes,yes,True,False,126,out,66,True
85,f,yes,yes,yes,yes,yes,True,False,1036,in,10,True
74,f,yes,yes,yes,yes,yes,True,False,2755,in,40,True
92,f,yes,no,no,yes,no,False,False,8147,out,51,False
7,m,no,yes,no,no,yes,False,True,6673,in,34,False
72,m,no,no,yes,no,yes,False,False,8836,in,54,False
57,f,yes,yes,no,no,no,False,False,6363,in,25,False
40,m,yes,no,yes,no,yes,True,True,152,in,32,False
87,m,yes,no,yes,yes,yes,True,False,1356,out,95,True
77,f,yes,yes,yes,yes,yes,True,False,1351,out,93,True
95,m,no,yes,no,yes,yes,True,True,6,out,96,False
31,m,yes,yes,no,no,no,False,True,4719,in,0,False
38,m,no,no,no,no,yes,False,True,4629,out,39,False
89,f,yes,yes,yes,yes,yes,True,False,687,in,44,True
73,f,yes,yes,yes,yes,no,True,False,1834,in,41,True
84,m,yes,yes,yes,yes,yes,True,False,1043,in,1,True
66,f,no,yes,yes,no,yes,True,True,2721,in,23,False
94,f,yes,yes,yes,yes,no,True,False,2989,in,17,True
24,m,no,no,no,yes,no,False,False,8101,in,26,False
88,f,yes,yes,yes,yes,yes,True,False,1309,out,97,True
72,f,no,no,no,no,yes,True,True,9048,out,50,False
92,m,yes,yes,yes,yes,yes,True,False,1272,out,50,True
13,f,yes,no,no,no,yes,False,False,3841,in,22,False
90,f,no,no,yes,yes,yes,True,True,4313,out,90,False
13,f,yes,yes,no,yes,yes,False,False,8689,in,87,False
20,m,yes,yes,yes,no,no,False,False,5940,in,90,False
76,f,yes,yes,yes,yes,yes,True,False,1871,in,24,True
80,f,yes,yes,yes,yes,yes,True,False,1054,out,76,True
61,f,yes,yes,no,yes,yes,True,False,1699,in,49,True
19,m,no,yes,no,yes,no,False,True,5380,in,91,False
96,f,no,yes,yes,yes,yes,True,False,870,out,92,True
97,m,no,yes,yes,yes,yes,True,False,2027,in,9,True
69,m,yes,yes,no,yes,yes,True,False,1118,out,61,True
74,m,no,yes,yes,yes,yes,True,False,1838,in,25,True
89,m,yes,no,no,no,no,False,True,8642,in,30,False
89,f,yes,yes,yes,yes,yes,True,False,2079,in,25,True
1,m,no,no,no,no,no,False,False,8850,in,18,False
81,m,no,yes,yes,yes,yes,True,False,766,in,22,True
24,m,no,yes,yes,no,yes,False,True,5410,out,99,False
14,m,yes,yes,yes,no,no,True,True,8712,in,79,False
81,f,yes,no,yes,yes,no,False,False,1264,out,48,False
77,m,no,yes,yes,yes,no,True,True,7635,in,75,False
99,m,yes,yes,yes,yes,yes,True,False,627,in,21,True
100,m,no,yes,yes,yes,yes,True,False,2312,in,22,True
11,f,yes,no,yes,yes,no,False,False,5075,in,44,False
0,f,no,no,yes,yes,no,False,False,7728,in,99,False
6,f,no,yes,no,yes,no,True,False,4135,out,21,False
82,m,yes,no,yes,yes,yes,True,False,693,in,35,True
91,m,no,yes,yes,yes,yes,True,False,420,out,87,True
87,m,yes,no,yes,yes,yes,True,False,833,in,5,True
95,m,yes,yes,yes,no,yes,True,False,2690,in,7,True
19,f,yes,no,no,no,yes,True,False,9577,in,93,False
90,m,no,yes,no,no,yes,False,False,8898,out,3,False
38,f,yes,no,yes,no,yes,False,True,9329,out,67,False
18,m,no,yes,no,yes,no,False,False,6220,out,15,False
2,m,yes,yes,yes,no,no,False,False,9997,in,56,False
83,f,yes,no,yes,yes,yes,True,False,34,in,42,True
81,f,yes,yes,yes,yes,yes,True,False,622,out,90,True
4,m,no,yes,yes,no,yes,False,False,3057,out,4,False
87,f,no,yes,yes,yes,yes,True,False,1533,out,50,True
78,m,yes,yes,yes,no,yes,True,False,1937,out,67,True
28,m,no,yes,yes,yes,yes,False,False,8189,in,73,False
11,f,no,no,yes,no,yes,False,True,5871,in,76,False
79,f,no,yes,yes,yes,no,True,True,9503,out,6,False
92,m,no,yes,yes,yes,yes,True,False,346,in,4,True
81,m,yes,yes,yes,yes,no,True,False,770,out,52,True
28,m,yes,no,no,yes,no,False,True,878,in,37,False
67,m,yes,yes,yes,yes,yes,True,False,2770,out,85,True
71,m,yes,no,yes,yes,yes,True,False,2254,in,27,True
78,f,yes,yes,yes,yes,yes,True,False,873,in,28,True
93,m,yes,yes,no,yes,yes,True,False,1077,out,92,True
95,f,yes,yes,yes,no,yes,False,True,477,out,51,False
99,m,no,no,yes,no,no,True,False,6167,in,62,False
89,f,no,yes,yes,yes,yes,True,False,969,out,60,True
84,m,no,yes,yes,yes,yes,True,False,12,out,95,True
95,m,no,yes,yes,yes,yes,True,False,889,out,61,True
86,f,yes,yes,yes,no,yes,True,False,79,out,70,True
100,m,yes,no,yes,yes,yes,True,False,889,in,18,True
3,f,no,yes,yes,no,yes,False,False,6157,out,20,False
89,f,yes,yes,yes,yes,yes,True,False,347,in,37,True
77,m,no,no,no,yes,yes,False,True,8869,in,93,False
61,f,yes,no,yes,no,yes,False,True,6471,out,5,False
14,f,no,no,no,yes,no,False,False,9358,out,49,False
78,m,yes,no,yes,yes,no,False,True,399,out,26,False
28,f,no,yes,yes,no,no,True,True,768,in,58,False
63,f,yes,no,yes,yes,yes,True,False,1315,out,54,True
4,f,yes,yes,yes,yes,yes,False,False,8321,in,97,False
1,m,no,yes,yes,yes,no,True,True,267,in,36,False
70,m,yes,yes,no,yes,no,True,False,1867,out,66,False
26,m,no,yes,yes,yes,yes,False,True,734,out,15,False
66,m,yes,yes,yes,yes,no,True,False,1187,in,26,True
79,m,yes,yes,yes,yes,yes,True,False,176,out,55,True
4,f,yes,no,no,yes,yes,False,False,4071,in,34,False
16,m,no,no,yes,no,yes,True,False,6792,out,32,False
29,f,no,yes,no,no,no,False,True,9286,out,47,False
77,m,no,yes,yes,yes,no,False,True,9630,in,74,False
47,f,no,yes,no,no,yes,True,True,2434,in,32,False
53,m,yes,yes,no,no,no,False,True,2043,out,33,False
63,m,yes,yes,yes,no,no,True,False,4881,out,18,False
92,f,yes,yes,yes,yes,no,True,False,1266,out,80,True
99,f,yes,yes,yes,yes,yes,True,False,1247,in,14,True
20,f,no,yes,yes,yes,no,False,True,6142,out,94,False
56,f,no,no,yes,no,no,True,True,556,in,19,False
13,m,no,no,no,no,no,False,False,6294,in,55,False
91,m,yes,yes,yes,yes,yes,True,False,45,out,81,True
25,f,yes,no,yes,no,yes,False,True,319,out,8,False
36,f,yes,yes,no,yes,no,True,False,8051,in,85,False
75,m,yes,yes,yes,no,yes,True,False,1658,in,31,True
68,m,yes,yes,yes,no,yes,True,False,2540,in,30,True
92,f,yes,yes,yes,yes,yes,True,False,20,out,76,True
86,m,yes,yes,yes,no,yes,True,False,2563,in,19,True
71,f,yes,no,yes,no,no,True,False,3374,out,9,False
77,m,no,no,no,yes,yes,True,False,6189,out,12,False
79,m,no,yes,yes,yes,yes,True,False,325,in,11,True
62,f,yes,no,no,yes,no,True,False,5578,in,60,False
72,m,yes,yes,yes,yes,yes,True,False,1736,out,88,True
87,f,yes,yes,yes,yes,yes,True,False,1139,out,91,True
68,f,no,yes,yes,no,yes,False,True,7917,in,8,False
65,m,yes,yes,yes,yes,yes,True,False,737,out,63,True
50,m,yes,no,yes,yes,yes,True,True,6620,in,59,False
76,f,yes,yes,yes,no,yes,True,False,1948,out,86,True
82,f,no,no,yes,yes,yes,False,True,7926,out,23,False
63,f,yes,yes,yes,yes,yes,True,False,2043,out,91,True
100,m,no,yes,yes,yes,no,False,False,8749,in,38,False
100,f,yes,yes,yes,yes,yes,True,False,998,out,87,True
80,m,yes,yes,yes,yes,yes,True,False,1872,out,54,True
97,m,yes,yes,yes,yes,yes,True,False,2022,in,13,True
89,f,yes,yes,yes,yes,yes,True,False,320,in,23,True
8,m,yes,no,no,yes,yes,True,True,6122,in,100,False
93,m,no,yes,yes,yes,yes,True,False,228,out,97,True
91,m,no,yes,yes,yes,yes,True,False,2042,in,9,True
88,f,no,yes,yes,yes,yes,True,False,1441,in,42,True
23,m,no,no,no,no,no,True,False,9772,in,29,False
31,m,no,no,yes,yes,no,True,True,523,in,65,False
62,f,yes,yes,yes,no,yes,True,False,2832,out,90,True
96,m,yes,yes,yes,yes,yes,True,False,284,in,1,True
9,m,no,no,yes,no,no,False,True,2023,out,5,False
50,m,yes,yes,no,no,no,True,True,9643,in,14,False
82,f,yes,no,no,yes,no,False,False,4865,out,80,False
72,f,no,no,yes,no,no,True,True,6480,in,96,False
98,m,yes,yes,yes,yes,yes,True,False,1349,in,29,True
93,f,yes,yes,yes,yes,no,True,False,2755,out,99,True
94,f,yes,no,yes,yes,yes,True,False,953,out,72,True
47,m,yes,yes,yes,no,no,True,True,537,in,61,False
68,m,yes,yes,yes,no,yes,False,True,9224,in,17,False
39,f,yes,no,yes,no,yes,True,True,5925,in,75,False
76,m,yes,no,yes,no,yes,False,True,5293,in,92,False
88,m,yes,no,no,no,yes,False,True,8260,out,42,False
80,f,yes,no,yes,yes,no,False,False,3031,out,67,False
98,m,yes,yes,yes,yes,yes,True,False,279,in,18,True
65,f,yes,no,yes,yes,yes,True,False,41,in,49,True
67,f,no,yes,yes,yes,yes,True,False,1792,out,89,True
65,m,no,yes,yes,yes,yes,True,False,2837,in,37,True
78,f,yes,yes,no,yes,yes,True,False,662,in,33,True
71,f,yes,no,yes,yes,yes,True,False,1705,out,77,True
91,m,yes,yes,yes,yes,yes,True,False,1523,out,74,True
62,f,yes,yes,yes,yes,yes,True,False,2947,out,69,True
92,m,yes,yes,yes,yes,no,False,True,3149,out,49,False
60,f,yes,yes,yes,yes,no,True,False,2942,in,38,True
66,f,yes,yes,yes,yes,yes,True,False,2976,in,48,True
97,m,no,yes,yes,yes,yes,True,False,1287,in,28,True
64,m,yes,no,yes,yes,yes,False,False,8811,in,52,False
93,m,no,yes,no,no,no,True,True,7248,out,88,False
58,m,no,no,no,no,no,False,True,1681,in,38,False
71,m,yes,yes,yes,yes,yes,True,False,403,out,62,True
87,f,yes,yes,yes,no,yes,True,False,1577,in,38,True
77,f,yes,yes,yes,yes,yes,True,False,1143,out,89,True
90,m,yes,yes,yes,yes,yes,True,False,1618,in,22,True
88,f,yes,yes,yes,yes,yes,True,False,1817,in,22,True
82,m,yes,yes,yes,no,yes,True,False,2671,out,87,True
100,m,yes,no,yes,yes,yes,True,False,1090,out,60,True
94,f,yes,yes,yes,yes,yes,True,False,1224,out,75,True
25,m,no,yes,yes,no,no,False,True,5027,in,79,False
68,m,yes,no,yes,yes,yes,True,False,1662,out,95,True
49,f,yes,yes,yes,no,yes,True,False,5114,in,19,False
4,f,yes,yes,yes,yes,yes,True,True,2625,in,72,False
66,f,yes,yes,yes,yes,yes,True,False,6,in,19,True
81,m,yes,yes,yes,no,yes,True,False,2489,in,27,True
81,m,yes,yes,yes,yes,yes,True,False,1523,in,6,True
89,f,no,no,no,no,no,False,False,2519,in,17,False
93,m,yes,yes,yes,yes,no,True,False,1606,out,75,True
76,m,yes,yes,yes,yes,yes,True,False,1298,in,38,True
11,m,no,yes,yes,no,no,False,False,3076,out,45,False
89,m,yes,yes,yes,yes,no,True,False,1089,in,21,True
36,m,no,yes,no,yes,no,True,False,5161,out,4,False
48,f,yes,yes,no,yes,yes,True,False,5523,in,97,False
7,f,no,yes,yes,no,yes,True,True,1005,out,17,False
74,m,no,no,yes,no,yes,False,True,9336,in,50,False
94,m,no,no,yes,yes,no,False,True,9561,in,55,False
88,f,yes,yes,no,yes,yes,True,False,1603,out,92,True
99,m,yes,yes,yes,no,yes,True,False,842,in,6,True
97,m,no,no,no,no,no,True,False,6694,out,3,False
71,m,yes,yes,yes,yes,yes,True,False,1923,in,25,True
55,f,no,yes,no,yes,no,False,True,2910,in,71,False
97,m,yes,yes,yes,yes,yes,True,False,2656,out,62,True
95,m,yes,yes,yes,yes,yes,True,False,1451,out,73,True
94,m,yes,yes,yes,yes,yes,True,False,829,in,43,True
14,f,no,no,no,no,no,True,False,1303,out,44,False
61,f,yes,no,no,no,yes,True,True,1811,out,19,False
100,f,no,yes,no,no,no,False,True,7091,in,79,False
45,f,no,no,yes,yes,yes,True,True,3398,out,95,False
62,f,no,no,yes,no,yes,True,True,571,out,91,False
78,f,yes,yes,yes,no,yes,True,False,351,in,32,True
95,f,yes,yes,yes,yes,yes,True,False,1441,in,42,True
95,f,yes,yes,yes,no,yes,True,False,1473,out,65,True
66,f,yes,yes,yes,yes,yes,True,False,176,out,76,True
20,f,no,no,no,no,no,False,False,3151,out,83,False
85,f,no,no,yes,yes,yes,False,True,1768,in,21,False
80,m,yes,yes,yes,no,yes,True,False,986,out,76,True
72,m,no,yes,yes,yes,yes,True,False,429,out,55,True
5,m,yes,no,no,yes,yes,True,True,5966,out,59,False
100,f,yes,yes,yes,yes,yes,True,False,1383,in,23,True
88,m,no,yes,yes,no,no,True,False,9834,out,97,False
95,f,yes,yes,yes,yes,yes,True,False,1933,in,43,True
66,m,yes,no,no,yes,no,False,True,3220,out,98,False
75,f,yes,yes,yes,yes,yes,True,False,2065,in,41,True
76,m,yes,yes,yes,yes,yes,True,False,411,in,46,True
40,m,no,no,yes,yes,no,True,False,2709,out,24,False
74,m,no,no,no,no,no,False,True,2666,out,53,False
27,f,no,yes,no,no,no,True,True,7127,in,54,False
64,f,yes,yes,yes,yes,yes,True,False,1140,in,22,True
50,f,yes,no,no,no,yes,False,True,2834,out,85,False
95,f,yes,yes,yes,yes,yes,True,False,883,out,79,True
5,f,no,no,yes,yes,yes,False,False,2235,out,41,False
29,f,no,no,yes,yes,yes,True,False,9322,in,17,False
79,m,yes,no,yes,yes,yes,True,False,2530,out,82,True
77,m,yes,yes,yes,yes,no,True,False,535,out,80,True
44,f,yes,no,no,no,yes,True,False,4947,in,77,False
91,m,no,no,no,yes,no,False,False,8141,out,36,False
93,f,yes,yes,yes,no,yes,True,False,837,in,7,True
99,m,yes,yes,yes,yes,yes,False,True,1850,in,11,False
33,f,no,yes,yes,no,yes,False,True,5589,in,54,False
100,m,yes,yes,yes,yes,yes,True,False,560,in,1,True
11,f,yes,no,no,yes,yes,False,True,5571,in,5,False
15,m,yes,no,no,no,yes,True,True,2911,in,11,False
78,m,yes,yes,yes,yes,yes,True,False,311,in,18,True
84,m,yes,yes,yes,yes,yes,True,False,2199,out,90,True
38,f,no,no,no,yes,no,False,True,3691,out,85,False
84,f,yes,yes,yes,yes,yes,True,False,865,out,73,True
72,f,no,yes,yes,no,yes,False,True,6858,in,2,False
82,f,yes,yes,yes,no,yes,True,False,414,out,65,True
47,m,yes,yes,no,no,yes,False,True,1733,in,11,False
10,m,no,no,no,no,no,False,True,7843,out,1,False
1,f,no,yes,no,no,yes,True,False,2058,in,69,False
52,f,no,no,no,yes,no,False,True,2773,out,99,False
17,m,yes,no,no,no,no,True,True,8747,out,83,False
62,f,yes,yes,yes,yes,yes,True,False,552,in,44,True
100,m,yes,yes,yes,yes,yes,True,False,492,in,26,True
93,f,yes,no,yes,yes,yes,True,False,2421,out,68,True
72,f,yes,no,no,no,yes,True,True,3847,in,8,False
25,m,no,yes,yes,yes,yes,False,True,9623,out,77,False
84,f,yes,yes,yes,yes,yes,True,False,2886,out,63,True
66,f,yes,yes,no,yes,yes,True,False,2705,in,29,True
95,f,no,yes,yes,yes,yes,True,False,2294,in,34,True
83,m,yes,yes,yes,yes,yes,True,False,2024,out,58,True
94,f,yes,yes,yes,yes,yes,True,False,2605,in,22,True
57,m,no,yes,yes,no,yes,False,True,8747,in,30,False
76,f,yes,yes,yes,yes,yes,True,False,363,in,40,True
40,m,no,no,no,no,no,False,False,7966,in,22,False
96,f,yes,yes,yes,no,yes,True,False,1882,out,72,True
30,m,no,yes,no,no,no,True,False,3488,out,10,False
70,m,no,yes,yes,yes,yes,True,False,1129,out,60,True
76,f,yes,yes,yes,yes,yes,True,False,2115,out,87,True
44,m,no,no,yes,yes,yes,False,True,2873,in,59,False
10,m,no,no,yes,yes,no,False,True,9709,in,60,False
4,m,yes,yes,no,yes,no,True,False,4036,in,46,False
86,f,no,yes,yes,yes,yes,True,False,73,in,15,True
15,m,no,yes,no,yes,yes,True,False,3910,out,83,False
30,m,yes,no,yes,yes,yes,False,True,9579,in,59,False
